phase,phase_time_label,phase_name_ar,component,red_action,red_why,blue_action,blue_why,combined_effect,red_inventory,red_cum_losses,blue_inventory,blue_cum_losses,red_ammo,blue_ammo
0,D-7,تمهيد - الوضع قبل العمليات,strategic,R-d0-500-077: Held in reserve — preserving SSM magazine for H-hour saturation salvo per opening-day concentration doctrine.,"Holding SSMs for a decisive initial strike aligns with the doctrine of overwhelming the defender's intercept capacity at the critical moment. [refs: Doctrines.md, WarReferences.md]",B-d0-99-000: Held position — preserving strategic assets for future engagement per ADP 3-0.,Strategic assets are held to ensure readiness for decisive engagements when Red reaches culmination. [refs: ADP 3-0 reserve commitment at culmination],"Red's attempts to shape the battlefield were largely thwarted by Blue's defensive measures. Red's UAV ISR efforts were intercepted by Blue's F-16s, resulting in significant losses. Red's mine-clearing operations faced heavy resistance from Blue's ATGM battalion, leading to high attrition among Red's minesweepers. Blue's counter-EW operations effectively neutralized Red's jamming attempts, maintaining Blue's C2 integrity.","strategic 1/1, naval 18/18, air 21/21, ground 40/40, sof 4/4",6,"naval 6/6, air 19/19, ground 64/64",6,"magazines=396, airframes=221, hulls=412","magazines=240, airframes=165, hulls=9"
0,D-7,تمهيد - الوضع قبل العمليات,maritime,R-d3-10-034: Deploy mine layers to reinforce sea denial and prepare the approach corridor.,Establishing sea control is essential for power projection and protecting the landing force. [refs: Doctrines.md],B-d1-6-034: Deploy coastal support boats to monitor and disrupt Red mine-laying operations.,"Prevent Red from reinforcing sea denial and ensure our minefields remain effective. [refs: Doctrines.md - Obstacle effects: disrupt, fix, turn, block]",,"strategic 1/1, naval 18/18, air 21/21, ground 40/40, sof 4/4",6,"naval 6/6, air 19/19, ground 64/64",6,"magazines=396, airframes=221, hulls=412","magazines=240, airframes=165, hulls=9"
0,D-7,تمهيد - الوضع قبل العمليات,air,R-d3-12-055: Deploy UAVs for ISR to identify Blue's defensive positions and reserve locations.,ISR is crucial for identifying gaps and weaknesses in Blue's defenses to exploit during the assault. [refs: AJP-3.3 Air & Space Operations Ed B],B-d2-3-048: Deploy F-16 squadron to intercept Red UAVs conducting ISR.,Prevent Red from gaining intelligence on Blue defensive positions and reserves. [refs: Doctrines.md - C-UAS defeats Group 1-5 UAS],,"strategic 1/1, naval 18/18, air 21/21, ground 40/40, sof 4/4",6,"naval 6/6, air 19/19, ground 64/64",6,"magazines=396, airframes=221, hulls=412","magazines=240, airframes=165, hulls=9"
0,D-7,تمهيد - الوضع قبل العمليات,mines,R-d3-2-045: Deploy mine sweepers to clear a path through Blue's minefields.,Clearing mines is necessary to ensure safe passage for the amphibious landing forces. [refs: ATP 3-90.4 Combined Arms Mobility],B-d1-502-015: Deploy ATGM battalion to cover minefields and engage Red mine sweepers.,Ensure minefields are effective by providing overwatch and fire support. [refs: Doctrines.md - Countermobility = terrain reinforcement + obstacle employment],,"strategic 1/1, naval 18/18, air 21/21, ground 40/40, sof 4/4",6,"naval 6/6, air 19/19, ground 64/64",6,"magazines=396, airframes=221, hulls=412","magazines=240, airframes=165, hulls=9"
0,D-7,تمهيد - الوضع قبل العمليات,usv_uav,R-d3-16-056: Conduct a UAV strike on identified Blue radar installations.,Disrupting Blue's radar capabilities will degrade their situational awareness and defensive response. [refs: AJP-3.3.3 Air-Maritime Coordination],B-d1-4-035: Activate coastal radar systems to detect and track incoming UAVs targeting radar installations.,Protect critical radar infrastructure from UAV strikes. [refs: Doctrines.md - Air defense planning at brigade and below],,"strategic 1/1, naval 18/18, air 21/21, ground 40/40, sof 4/4",6,"naval 6/6, air 19/19, ground 64/64",6,"magazines=396, airframes=221, hulls=412","magazines=240, airframes=165, hulls=9"
0,D-7,تمهيد - الوضع قبل العمليات,sof,R-d2-211-074: Insert SOF to conduct reconnaissance and disrupt Blue's rear-area C2.,Vertical envelopment with SOF can create chaos and confusion in Blue's command structure. [refs: WarReferences.md],B-d1-504-021: Deploy signal battalion to monitor and counter Red SOF reconnaissance activities.,"Protect rear-area C2 from disruption and maintain communication integrity. [refs: Doctrines.md - Defense types: area defense, mobile defense, retrograde]",,"strategic 1/1, naval 18/18, air 21/21, ground 40/40, sof 4/4",6,"naval 6/6, air 19/19, ground 64/64",6,"magazines=396, airframes=221, hulls=412","magazines=240, airframes=165, hulls=9"
0,D-7,تمهيد - الوضع قبل العمليات,ew,R-d3-405-014: Initiate continuous EW operations to jam Blue's C2.,Persistent EW will degrade Blue's ability to coordinate their defense and react to Red's operations. [refs: Doctrines.md],B-d1-505-022: Initiate counter-EW operations to protect Blue's C2 from Red jamming efforts.,Ensure continuous communication and command capabilities. [refs: Doctrines.md - Air defense planning at brigade and below],,"strategic 1/1, naval 18/18, air 21/21, ground 40/40, sof 4/4",6,"naval 6/6, air 19/19, ground 64/64",6,"magazines=396, airframes=221, hulls=412","magazines=240, airframes=165, hulls=9"
1,D-5,تبادل صواريخ استراتيجية,strategic,R-d0-500-077: Fire 12 SSMs at Blue's coastal naval installations to degrade their naval capabilities by approximately 40%.,"Pre-strike on enemy ports is a doctrinal opening move to degrade naval bases and immobilize assets, as seen in Libya 2011. [refs: WarReferences.md §1 'Pre-strike on enemy ports', WarReferences.md §2 'Tomahawk salvo on naval base']","B-d1-4-035: Held position — Red strike already absorbed by hardened coastal installations, counter-launch wastes magazine per ATP 3-01.8 economy of force.","Preserving strategic strike capabilities for future engagements when Red forces are more exposed. [refs: Doctrines.md — Tenet: Defending division shapes the close, deep, support area., WarReferences.md — ASCM kill on cruiser (pair-launch, surprise).]","Red's strategic strike with 12 SSMs targeted Blue's coastal naval installations, but hardened defenses absorbed the impact, resulting in minimal degradation. Blue's counter-EW operations effectively mitigated Red's jamming, maintaining C2 integrity. Red's EW pressure was persistent but matched by Blue's countermeasures, resulting in a stalemate in electronic warfare.","strategic 1/1, naval 18/18, air 21/21, ground 40/40, sof 4/4",8,"naval 6/6, air 19/19, ground 64/64",8,"magazines=384, airframes=221, hulls=412","magazines=240, airframes=165, hulls=9"
1,D-5,تبادل صواريخ استراتيجية,ew,R-d3-405-014: Continue persistent jamming of Blue's C2 systems to disrupt their coordination.,"Continuous EW is essential to maintain pressure on Blue's C2 throughout operations, aligning with the doctrine of persistent EW. [refs: EW persistent throughout]",B-d1-505-022: Conduct counter-EW operations to mitigate Red's jamming efforts.,Ensure continuity of C2 systems to maintain coordination and operational effectiveness. [refs: Doctrines.md — Tenet: Corps as senior tactical HQ; controls multiple divisions plus enablers.],,"strategic 1/1, naval 18/18, air 21/21, ground 40/40, sof 4/4",8,"naval 6/6, air 19/19, ground 64/64",8,"magazines=384, airframes=221, hulls=412","magazines=240, airframes=165, hulls=9"
2,D-3,حملة قمع الدفاع الجوي SEAD,strategic,R-d0-500-077: Held in reserve — preserving SSM magazine for H-hour saturation salvo per opening-day concentration doctrine.,Strategic SSMs are more effective when used in a coordinated saturation strike during the main assault. [refs: AJP-3.1 Ed B],,,"Red's SEAD campaign using Su-24s with HARM missiles targeted Blue's 9th AD Bde, achieving a 12% degradation of Blue's Hawk and S-300 systems. Blue's air defense preserved its fighter AD, minimizing losses. Red's EW operations maintained pressure on Blue's C2, but Blue's systems remained functional. Red lost 5% of its strike aircraft during SEAD sorties, consistent with historical SEAD operations.","strategic 1/1, naval 18/18, air 21/21, ground 40/40, sof 4/4",9,"naval 6/6, air 19/19, ground 64/64",11,"magazines=384, airframes=220, hulls=412","magazines=240, airframes=165, hulls=9"
2,D-3,حملة قمع الدفاع الجوي SEAD,air,R-d3-14-051: Conduct SEAD sorties against Blue's 9th AD Bde using Su-24 strike aircraft with HARM missiles.,"To reduce the effectiveness of Blue's air defenses by targeting Hawk and S-300 systems, enabling Red air operations. [refs: WarReferences.md, Doctrines.md]",B-d2-3-048: Held position — preserving fighter AD for Red culmination per ATP 3-01.8 economy of force.,"Red's SEAD sorties are targeting our air defenses. By holding our fighter squadrons, we conserve airframes and counter Red's air operations when they are more vulnerable. [refs: ATP 3-01.8 Combined Arms for Air Defense (2016)]",,"strategic 1/1, naval 18/18, air 21/21, ground 40/40, sof 4/4",9,"naval 6/6, air 19/19, ground 64/64",11,"magazines=384, airframes=220, hulls=412","magazines=240, airframes=165, hulls=9"
2,D-3,حملة قمع الدفاع الجوي SEAD,ew,R-d3-405-014: Continue electronic warfare operations to jam Blue's C2 systems.,"Persistent EW disrupts Blue's command and control, enhancing SEAD effectiveness by reducing coordination. [refs: Doctrines.md]",B-d1-505-022: Held position — absorbing EW impact while maintaining C2 integrity per ATP 3-01.81.,"Red's electronic warfare is attempting to disrupt our C2 systems. By holding, we focus on maintaining communication and coordination across our forces. [refs: ATP 3-01.81 C-UAS (Aug 2023)]",,"strategic 1/1, naval 18/18, air 21/21, ground 40/40, sof 4/4",9,"naval 6/6, air 19/19, ground 64/64",11,"magazines=384, airframes=220, hulls=412","magazines=240, airframes=165, hulls=9"
3,D-2,اشتباك بحري سطحي + ASW,strategic,R-d0-500-077: Held in reserve — preserving SSM magazine for H-hour saturation salvo per opening-day concentration doctrine.,"To ensure maximum impact during the initial assault on Blue's coastal defenses. [refs: AJP-3.1 Maritime Operations, JP 3-02 Amphibious Operations]",B-d0-المكون-030: Held position — preserving SSM magazine for critical engagement at Red's culmination per ADP 3-0.,"Strategic strike advantage requires holding SSMs for decisive engagement. [refs: ADP 3-0, Doctrines.md]","Red's missile boats attempted to engage Blue's coastal support boats but were intercepted by Blue's corvettes, resulting in significant Red losses. Red's MiG-29s clashed with Blue's Rafales, with Blue maintaining air superiority. Red's UAV strike on Blue's radar installations was partially successful, but Blue's UAVs intercepted a portion of the strike. Red's minesweepers faced heavy resistance from Blue's coastal support boats, resulting in high attrition. Force ratio 0.25:1 < 1.5:1 per FM 3-90 — BLUE_ADV holds as Red approaches culmination.","strategic 1/1, naval 18/18, air 21/21, ground 40/40, sof 4/4",14,"naval 6/6, air 19/19, ground 64/64",16,"magazines=384, airframes=217, hulls=402","magazines=240, airframes=162, hulls=8"
3,D-2,اشتباك بحري سطحي + ASW,maritime,R-d3-20-033: Deploy missile boats to engage Blue's coastal support boats and clear a path for landing ships.,"To reduce Blue's maritime threat and secure a safe passage for the amphibious landing. [refs: AJP-3.1 Maritime Operations, WarReferences.md]",B-d1-8-031: Deploy corvettes to engage Red missile boats and protect minefields.,"Sea denial through active engagement of Red naval forces to prevent mine clearance. [refs: Doctrines.md, WarReferences.md]",,"strategic 1/1, naval 18/18, air 21/21, ground 40/40, sof 4/4",14,"naval 6/6, air 19/19, ground 64/64",16,"magazines=384, airframes=217, hulls=402","magazines=240, airframes=162, hulls=8"
3,D-2,اشتباك بحري سطحي + ASW,air,R-d3-11-049: Launch MiG-29 squadron to provide air cover and engage Blue's F-16s.,"To establish air superiority and protect our naval forces from Blue's air threats. [refs: AJP-3.3 Air & Space Operations, Doctrines.md]",B-d2-1-052: Launch Rafale squadron to intercept Red MiG-29s and protect F-16s.,"Air superiority is crucial to protect naval and coastal assets. [refs: Doctrines.md, AJP-3.3 Air & Space Operations]",,"strategic 1/1, naval 18/18, air 21/21, ground 40/40, sof 4/4",14,"naval 6/6, air 19/19, ground 64/64",16,"magazines=384, airframes=217, hulls=402","magazines=240, airframes=162, hulls=8"
3,D-2,اشتباك بحري سطحي + ASW,mines,R-d3-2-035: Deploy minesweepers to clear a path through the remaining sea mines.,To ensure safe passage for our landing ships during the amphibious assault. [refs: ATP 3-90.4 Combined Arms Mobility],B-d1-6-034: Deploy coastal support boats to monitor and disrupt Red minesweeping operations.,"Preserve minefield effectiveness by preventing Red clearance efforts. [refs: Doctrines.md, WarReferences.md]",,"strategic 1/1, naval 18/18, air 21/21, ground 40/40, sof 4/4",14,"naval 6/6, air 19/19, ground 64/64",16,"magazines=384, airframes=217, hulls=402","magazines=240, airframes=162, hulls=8"
3,D-2,اشتباك بحري سطحي + ASW,usv_uav,R-d3-16-056: Launch UAVs in a mass strike against Blue's coastal radar installations.,"To degrade Blue's ISR capabilities and facilitate our naval and air operations. [refs: WarReferences.md, AJP-3.3.3 Air-Maritime Coordination]",B-d1-501-014: Deploy UAVs to intercept and neutralize Red UAV mass strike.,"Protect coastal radar installations critical for surveillance and targeting. [refs: Doctrines.md, AJP-3.3.3 Air-Maritime Coordination]",,"strategic 1/1, naval 18/18, air 21/21, ground 40/40, sof 4/4",14,"naval 6/6, air 19/19, ground 64/64",16,"magazines=384, airframes=217, hulls=402","magazines=240, airframes=162, hulls=8"
3,D-2,اشتباك بحري سطحي + ASW,sof,R-d2-212-075: Conduct reconnaissance to identify Blue's naval positions and vulnerabilities.,To gather intelligence for targeting and operational planning. [refs: JP 3-02 Amphibious Operations],B-d2-سريةال-023: Conduct counter-reconnaissance operations to locate and neutralize Red SOF.,"Prevent Red from identifying vulnerabilities in Blue's naval positions. [refs: Doctrines.md, AJP-3.2 Land Operations]",,"strategic 1/1, naval 18/18, air 21/21, ground 40/40, sof 4/4",14,"naval 6/6, air 19/19, ground 64/64",16,"magazines=384, airframes=217, hulls=402","magazines=240, airframes=162, hulls=8"
3,D-2,اشتباك بحري سطحي + ASW,ew,R-d3-405-014: Continue EW operations to jam Blue's C2 systems.,"To disrupt Blue's command and control, reducing their operational effectiveness. [refs: AJP-3 Conduct of Operations]","B-d1-505-022: Held position — EW systems suppressed, conserving resources for critical phases.","Preserve EW capabilities for future engagements when suppression is reduced. [refs: Doctrines.md, ATP 3-01.8]",,"strategic 1/1, naval 18/18, air 21/21, ground 40/40, sof 4/4",14,"naval 6/6, air 19/19, ground 64/64",16,"magazines=384, airframes=217, hulls=402","magazines=240, airframes=162, hulls=8"
