phase,phase_time_label,phase_name_ar,component,red_action,red_why,blue_action,blue_why,combined_effect,red_inventory,red_cum_losses,blue_inventory,blue_cum_losses,red_ammo,blue_ammo
0,D-7,تمهيد - الوضع قبل العمليات,land,R-d0-قيادةا-000: Held position - local model fallback after invalid structured output.,Fallback preserves run continuity; original error: LLM_LOCAL_FORCE_FALLBACK=1 [refs: local-model-fallback],B-d0-99-000: Held position - local model fallback after invalid structured output.,Fallback preserves run continuity; original error: LLM_LOCAL_FORCE_FALLBACK=1 [refs: local-model-fallback],Local model fallback used after invalid adjudicator output. No additional combat effects were applied this phase.,"strategic 1/1, naval 18/18, air 21/21, ground 40/40, sof 4/4",0,"naval 3/3, air 9/9, ground 43/43",0,"magazines=396, airframes=232, hulls=412","magazines=240, airframes=35, hulls=6"
1,D-5,تبادل صواريخ استراتيجية,land,R-d0-قيادةا-000: Held position - local model fallback after invalid structured output.,Fallback preserves run continuity; original error: LLM_LOCAL_FORCE_FALLBACK=1 [refs: local-model-fallback],B-d0-99-000: Held position - local model fallback after invalid structured output.,Fallback preserves run continuity; original error: LLM_LOCAL_FORCE_FALLBACK=1 [refs: local-model-fallback],Local model fallback used after invalid adjudicator output. No additional combat effects were applied this phase.,"strategic 1/1, naval 18/18, air 21/21, ground 40/40, sof 4/4",0,"naval 3/3, air 9/9, ground 43/43",0,"magazines=396, airframes=232, hulls=412","magazines=240, airframes=35, hulls=6"
2,D-3,حملة قمع الدفاع الجوي SEAD,land,R-d0-قيادةا-000: Held position - local model fallback after invalid structured output.,Fallback preserves run continuity; original error: LLM_LOCAL_FORCE_FALLBACK=1 [refs: local-model-fallback],B-d0-99-000: Held position - local model fallback after invalid structured output.,Fallback preserves run continuity; original error: LLM_LOCAL_FORCE_FALLBACK=1 [refs: local-model-fallback],Local model fallback used after invalid adjudicator output. No additional combat effects were applied this phase.,"strategic 1/1, naval 18/18, air 21/21, ground 40/40, sof 4/4",0,"naval 3/3, air 9/9, ground 43/43",0,"magazines=396, airframes=232, hulls=412","magazines=240, airframes=35, hulls=6"
3,D-2,اشتباك بحري سطحي + ASW,land,R-d0-قيادةا-000: Held position - local model fallback after invalid structured output.,Fallback preserves run continuity; original error: LLM_LOCAL_FORCE_FALLBACK=1 [refs: local-model-fallback],B-d0-99-000: Held position - local model fallback after invalid structured output.,Fallback preserves run continuity; original error: LLM_LOCAL_FORCE_FALLBACK=1 [refs: local-model-fallback],Local model fallback used after invalid adjudicator output. No additional combat effects were applied this phase.,"strategic 1/1, naval 18/18, air 21/21, ground 40/40, sof 4/4",0,"naval 3/3, air 9/9, ground 43/43",0,"magazines=396, airframes=232, hulls=412","magazines=240, airframes=35, hulls=6"
4,D-1,تطهير حقول الألغام البحرية,land,R-d0-قيادةا-000: Held position - local model fallback after invalid structured output.,Fallback preserves run continuity; original error: LLM_LOCAL_FORCE_FALLBACK=1 [refs: local-model-fallback],B-d0-99-000: Held position - local model fallback after invalid structured output.,Fallback preserves run continuity; original error: LLM_LOCAL_FORCE_FALLBACK=1 [refs: local-model-fallback],Local model fallback used after invalid adjudicator output. No additional combat effects were applied this phase.,"strategic 1/1, naval 18/18, air 21/21, ground 40/40, sof 4/4",0,"naval 3/3, air 9/9, ground 43/43",0,"magazines=396, airframes=232, hulls=412","magazines=240, airframes=35, hulls=6"
5,D-H,الضربة المركزة متعددة الاتجاهات + الإنزال,land,R-d0-قيادةا-000: Held position - local model fallback after invalid structured output.,Fallback preserves run continuity; original error: LLM_LOCAL_FORCE_FALLBACK=1 [refs: local-model-fallback],B-d0-99-000: Held position - local model fallback after invalid structured output.,Fallback preserves run continuity; original error: LLM_LOCAL_FORCE_FALLBACK=1 [refs: local-model-fallback],Local model fallback used after invalid adjudicator output. No additional combat effects were applied this phase.,"strategic 1/1, naval 18/18, air 21/21, ground 40/40, sof 4/4",0,"naval 3/3, air 9/9, ground 43/43",0,"magazines=396, airframes=232, hulls=412","magazines=240, airframes=35, hulls=6"
6,D+2h,اقتحام الشاطئ - المرحلة 1 (طلائع),land,R-d0-قيادةا-000: Held position - local model fallback after invalid structured output.,Fallback preserves run continuity; original error: LLM_LOCAL_FORCE_FALLBACK=1 [refs: local-model-fallback],B-d0-99-000: Held position - local model fallback after invalid structured output.,Fallback preserves run continuity; original error: LLM_LOCAL_FORCE_FALLBACK=1 [refs: local-model-fallback],Local model fallback used after invalid adjudicator output. No additional combat effects were applied this phase.,"strategic 1/1, naval 18/18, air 21/21, ground 40/40, sof 4/4",0,"naval 3/3, air 9/9, ground 43/43",0,"magazines=396, airframes=232, hulls=412","magazines=240, airframes=35, hulls=6"
7,D+6h,المرحلة 2أ - الموجة الرئيسية للفرقة 4,land,R-d0-قيادةا-000: Held position - local model fallback after invalid structured output.,Fallback preserves run continuity; original error: LLM_LOCAL_FORCE_FALLBACK=1 [refs: local-model-fallback],B-d0-99-000: Held position - local model fallback after invalid structured output.,Fallback preserves run continuity; original error: LLM_LOCAL_FORCE_FALLBACK=1 [refs: local-model-fallback],Local model fallback used after invalid adjudicator output. No additional combat effects were applied this phase.,"strategic 1/1, naval 18/18, air 21/21, ground 40/40, sof 4/4",0,"naval 3/3, air 9/9, ground 43/43",0,"magazines=396, airframes=232, hulls=412","magazines=240, airframes=35, hulls=6"
8,D+12h,تكوين رأس الجسر,land,R-d0-قيادةا-000: Held position - local model fallback after invalid structured output.,Fallback preserves run continuity; original error: LLM_LOCAL_FORCE_FALLBACK=1 [refs: local-model-fallback],B-d0-99-000: Held position - local model fallback after invalid structured output.,Fallback preserves run continuity; original error: LLM_LOCAL_FORCE_FALLBACK=1 [refs: local-model-fallback],Local model fallback used after invalid adjudicator output. No additional combat effects were applied this phase.,"strategic 1/1, naval 18/18, air 21/21, ground 40/40, sof 4/4",0,"naval 3/3, air 9/9, ground 43/43",0,"magazines=396, airframes=232, hulls=412","magazines=240, airframes=35, hulls=6"
9,D+24h,الهجوم الأزرق المضاد الأول (لواء 72 المدرع),land,R-d0-قيادةا-000: Held position - local model fallback after invalid structured output.,Fallback preserves run continuity; original error: LLM_LOCAL_FORCE_FALLBACK=1 [refs: local-model-fallback],B-d0-99-000: Held position - local model fallback after invalid structured output.,Fallback preserves run continuity; original error: LLM_LOCAL_FORCE_FALLBACK=1 [refs: local-model-fallback],Local model fallback used after invalid adjudicator output. No additional combat effects were applied this phase.,"strategic 1/1, naval 18/18, air 21/21, ground 40/40, sof 4/4",0,"naval 3/3, air 9/9, ground 43/43",0,"magazines=396, airframes=232, hulls=412","magazines=240, airframes=35, hulls=6"
